400	6
120	120	120	56	22	22
3.146	10.037	3.511	1.236	1.716	1.158
3.732	10.741	2.970	1.438	1.614	1.154
2.962	11.723	3.393	1.100	1.505	1.011
2.914	11.305	2.860	1.148	1.110	1.237
2.500	10.042	2.720	1.702	1.208	1.369
3.400	10.159	3.746	1.385	1.133	1.313
3.653	11.720	2.571	1.137	1.542	1.201
2.560	11.250	3.564	1.527	1.037	1.141
2.937	10.052	3.563	1.772	1.347	1.348
2.796	10.434	2.945	1.797	1.304	1.019
3.560	11.415	3.706	1.298	1.456	1.355
3.492	11.348	2.785	1.602	1.360	1.140
2.990	11.801	2.933	1.083	1.117	1.284
4.000	12.000	4.000	2.000	2.000	1.500
2.906	11.274	2.611	1.521	1.306	1.038
2.609	10.380	3.555	1.596	1.463	1.340
3.396	11.109	2.719	1.097	1.034	1.396
3.687	10.412	3.399	1.202	1.224	1.088
2.540	11.602	2.615	1.258	1.109	1.191
2.825	10.981	3.227	1.163	1.463	1.085
3.339	11.640	3.045	1.635	1.513	1.258
3.092	10.032	2.928	1.300	1.225	1.039
3.741	11.131	3.682	1.000	1.364	1.003
4.000	12.000	4.000	2.000	2.000	1.500
3.392	10.184	3.011	1.546	1.246	1.150
3.225	11.772	3.625	1.781	1.308	1.307
4.000	12.000	4.000	2.000	2.000	1.500
3.298	10.044	3.735	1.367	1.399	1.069
3.592	11.847	3.750	1.740	1.177	1.067
3.508	10.872	3.236	1.466	1.467	1.137
3.602	10.808	3.217	1.716	1.721	1.322
3.000	12.000	4.000	2.000	2.000	1.500
3.119	10.198	3.382	1.797	1.387	1.373
3.133	11.732	3.468	1.255	1.332	1.275
3.599	11.586	3.222	1.656	1.381	1.054
2.375	9.200	2.469	0.281	0.780	0.059
2.777	11.556	3.745	1.796	1.752	1.161
2.743	11.013	3.356	1.479	1.475	1.141
3.327	10.924	2.574	1.163	1.176	1.022
2.828	11.431	3.283	1.491	1.250	1.004
3.158	10.422	2.752	1.562	1.143	1.192
2.834	11.605	2.846	1.277	1.363	1.368
3.372	10.059	3.222	1.534	1.424	1.381
2.569	11.623	3.289	1.401	1.401	1.126
3.118	10.891	2.887	1.025	1.316	1.051
3.776	11.315	2.726	1.422	1.707	1.198
2.180	10.417	2.228	0.407	0.275	0.251
2.820	11.482	3.180	1.654	1.095	1.304
4.000	12.000	4.000	1.118	1.192	1.294
3.249	10.811	3.581	1.653	1.384	1.058
